number,orientation,card,title,subtitle,pair,etteilla,quad,triple,double
1,,E,,,,,,,
2,1,K,a man,loyalty,thief,gold on you,great honor,consultation,minor advice
2,0,K,a man,father,thief,gold on you,haste,commerce,projects
3,1,Q,a woman,air,extraordinary life,character,big talk,deception by a woman,female friend
3,0,Q,a woman,mother,extraordinary life,character,bad company,gluttony,construction worker
4,1,J,army,pride,genealogy,they're waiting for us,contagious illness,dispute,anxiety
4,0,J,domestic,parent,genealogy,they're waiting for us,deprivation,laziness,society
5,1,1,ticket,step-father,bad,pressing need,lottery,small success,deception
5,0,1,letters,solitude,bad,pressing need,dishonor,debauchery,enemy
6,1,10,gold,water,rest,fall,ex-convict,new start ,change
6,0,10,betrayal,beginning,rest,fall,event,loss,waiting
7,1,9,business,advantage,disunity,chastity,good citizen,huge success,small bit of money
7,0,9,delay,poverty,disunity,chastity,usury,imprudence,profit
8,1,8,countryside,wealth,faith,wisdom,setback,marriage,new acquaintances
8,0,8,grief,the end,thief,wisdom,mistake,spectacle,crosses
9,1,7,cackle,the present,time,a lot,plot,handicap,small bit of news
9,0,7,birth,good,time,a lot,bad citizen,joy,prostitute
10,1,K,blond man,remarkable,abuse,cloister,great honor,consultation,minor advice
10,0,K,chestnut-blond haired man,fighter,abuse,cloister,haste,commerce,projects
11,1,Q,blond woman,fickleness,outrage,more,big talk,deception by a woman,female friend
11,0,Q,chestnut-blond haired woman,step-mother,outrage,more,bad company,gluttony,construction worker
12,1,J,blond boy,generosity,political,superstition,contagious illness,dispute,anxiety
12,0,J,chestnut-blond haired girl,children,political,superstition,deprivation,laziness,society
13,1,10,town,envious,drunkenness,sincerity,ex-convict,new start ,change
13,0,10,legacy,shotgun marriage,drunkenness,sincerity,event,loss,waiting
14,1,9,victory,curiosity,irreligion,despair,good citizen,huge success,small bit of money
14,0,9,boredom,obstacle,irreligion,despair,usury,imprudence,profit
15,1,8,blonde girl,success,peace,due,setback,marriage,new acquaintances
15,0,8,chestnut-brown haired girl,sister,peace,due,mistake,spectacle,crosses
16,1,7,thought,heart,peace,debts,plots,handicaps,small bits of news
16,0,7,desires,hypocrisy,peace,debts,bad citizen,joy,prostitute
17,1,K,official,science,irreligion,falsely accused,great honor,consultation,minor advice
17,0,K,widower,weakness,irreligion,falsely accused,haste,commerce,projects
18,1,Q,widow,life,drunkenness,cuckold,big talk,deception by a woman,female friend
18,0,Q,worldly woman,avarice,drunkenness,cuckold,bad company,gluttony,construction worker
19,1,J,messenger,company,political,double wedding,contagious illness,dispute,anxiety
19,0,J,spy,suddenly,political,double wedding,deprivation,laziness,society
20,1,10,tears,jealousy,contempt,humanity,ex-convict,new start ,change
20,0,10,losses,fire,contempt,inhumanity,event,loss,waiting
21,1,8,illness,prudence,abuse,singlehood,setback,marriage,new acquaintances
21,0,8,religious,ambition,abuse,singlehood,mistake,spectacle,crosses
22,1,7,hope,strength,time,trial,plots,handicaps,small bits of news
22,0,7,friendship,indecision,time,trial,bad citizen,joy,prostitute
23,1,K,brown-haired man,less,faith,enmity,great honor,consultation,minor advice
23,0,K,chestnut-brown haired man,husband,faith,enmity,haste,commerce,projects
24,1,Q,brown-haired man,gossip,disunity,injustice,big talk,deception by a woman,female friend
24,0,Q,chestnut-brown haired woman,wife,disunity,injustice,bad company,gluttony,construction worker
25,1,J,brown-haired boy,wit,rest,flattery,contagious illness,dispute,anxiety
25,0,J,chestnut-brown haired boy,brother,rest,flattery,deprivation,laziness,society
26,1,1,money purse,orphan,bad,prison,lottery,small success,deception
26,0,1,nobility,grudge,bad,prison,dishonor,debauchery,enemy
27,1,10,house,the future,genealogy,greatness,ex-convict,new start ,change
27,0,10,lover,hobby,genealogy,greatness,event,loss,waiting
28,1,9,effects,indiscretion,extraordinary life,ingratitude,good citizen,huge success,small bit of money
28,0,9,a present,game,extraordinary life,ingratitude,usury,imprudence,profit
29,1,8,blonde girl,art,thief,ignorance,setback,marriage,new acquaintances
29,0,8,chestnut-brown haired girl,remoteness,thief,ignorance,mistake,spectacle,crosses
30,1,7,money,hatred,bastard,imagination,plot,handicap,small bit of news
30,0,7,embarrassment,earth,bastard,imagination,bad citizen,joy,prostitute
31,1,1,present,mars,,mistrust,lottery,small success,deception
31,0,1,profit,feast,,mistrust,dishonor,debauchery,enemy
32,1,1,trifle,venus,,abandonment,lottery,small success,deception
32,0,1,enjoyment,pregnancy,,abandonment,dishonor,debauchery,enemy
33,1,9,priest,grief,,humanity,good citizen,huge success,small bit of money
33,0,9,illness,gloomy,,humanity,usury,imprudence,profit
